,0,,
0,0.0,,
1,0.0,,
2,0.46,,
3,0.32,,
4,0.48,,
5,0.58,,
6,0.65,,
7,0.84,,
8,1.22,,
9,1.09,,
10,0.98,,
11,0.99,,
12,0.99,,
13,0.91,,
14,0.85,,
15,1.05,,
16,1.24,,
17,1.22,,
18,1.38,,
19,1.3,,
20,1.44,,
21,1.37,,
22,1.58,,
23,1.68,,
24,1.66,,
25,1.63,,
26,1.72,,
27,1.8,,
28,1.78,,
29,1.71,,
30,1.86,,
31,1.93,,
32,1.87,,
33,1.81,,
34,1.79,,
35,1.76,,
36,378.0,11.72,63.0
37,0.86,,
38,0.92,,
39,0.95,,
40,2.16,,
41,1.94,,
42,1.78,,
43,1.67,,
44,1.59,,
45,1.53,,
46,1.38,,
47,1.25,,
48,1.48,,
49,1.44,,
50,1.41,,
51,1.32,,
52,1.36,,
53,1.28,,
54,1.27,,
55,1.2,,
56,1.19,,
57,1.42,,
58,1.44,,
59,1.47,,
60,1.45,,
61,1.43,,
62,1.41,,
63,1.4,,
64,1.38,,
65,1.34,,
66,1.33,,
67,1.32,,
68,1.27,,
69,1.24,,
70,1.23,,
71,1.22,,
72,264.0,20.4,44.0
73,0.86,,
74,0.46,,
75,0.32,,
76,0.48,,
77,0.58,,
78,0.65,,
79,1.12,,
80,1.1,,
81,1.09,,
82,1.08,,
83,0.99,,
84,1.07,,
85,1.14,,
86,1.06,,
87,1.12,,
88,1.18,,
89,1.17,,
90,1.32,,
91,1.25,,
92,1.29,,
93,1.28,,
94,1.26,,
95,1.25,,
96,1.24,,
97,1.23,,
98,1.22,,
99,1.21,,
100,1.21,,
101,1.37,,
102,1.39,,
103,1.35,,
104,1.37,,
105,1.36,,
106,1.32,,
107,1.39,,
108,318.0,30.31,53.0
109,0.86,,
110,2.31,,
111,1.89,,
112,2.4,,
113,2.13,,
114,1.95,,
115,1.67,,
116,1.59,,
117,1.64,,
118,1.57,,
119,1.52,,
120,1.4,,
121,1.37,,
122,1.34,,
123,1.38,,
124,1.3,,
125,1.28,,
126,1.27,,
127,1.51,,
128,1.44,,
129,1.42,,
130,1.35,,
131,1.34,,
132,1.28,,
133,1.23,,
134,1.18,,
135,1.29,,
136,1.24,,
137,1.2,,
138,1.19,,
139,1.28,,
140,1.27,,
141,1.24,,
142,1.2,,
143,1.34,,
144,282.0,39.55,47.0
145,1.71,,
146,1.38,,
147,1.26,,
148,1.44,,
149,1.35,,
150,1.3,,
151,1.26,,
152,1.59,,
153,1.42,,
154,1.38,,
155,1.25,,
156,1.23,,
157,1.14,,
158,1.06,,
159,1.05,,
160,0.99,,
161,0.93,,
162,1.1,,
163,1.04,,
164,1.04,,
165,1.04,,
166,0.99,,
167,0.99,,
168,0.95,,
169,0.91,,
170,0.92,,
171,0.88,,
172,0.89,,
173,0.86,,
174,0.83,,
175,0.83,,
176,0.93,,
177,0.93,,
178,0.94,,
179,0.94,,
180,198.0,46.13,33.0
181,1.71,,
182,1.38,,
183,1.26,,
184,2.4,,
185,2.13,,
186,1.95,,
187,1.81,,
188,1.59,,
189,1.42,,
190,1.28,,
191,1.16,,
192,1.07,,
193,1.44,,
194,1.41,,
195,1.71,,
196,1.61,,
197,1.57,,
198,1.49,,
199,1.62,,
200,1.59,,
201,1.8,,
202,1.76,,
203,1.73,,
204,1.66,,
205,1.59,,
206,1.57,,
207,1.55,,
208,1.53,,
209,1.51,,
210,1.49,,
211,1.57,,
212,1.55,,
213,1.54,,
214,1.67,,
215,1.73,,
216,390.0,58.51,65.0
217,0.86,,
218,0.46,,
219,0.95,,
220,0.96,,
221,1.55,,
222,1.46,,
223,1.4,,
224,1.35,,
225,1.31,,
226,1.38,,
227,1.34,,
228,1.56,,
229,1.44,,
230,1.41,,
231,1.38,,
232,1.3,,
233,1.57,,
234,1.71,,
235,1.62,,
236,1.54,,
237,1.51,,
238,1.71,,
239,1.64,,
240,1.57,,
241,1.51,,
242,1.45,,
243,1.4,,
244,1.38,,
245,1.37,,
246,1.36,,
247,1.35,,
248,1.31,,
249,1.27,,
