,0,
0,0,"[51, 46, 59, 55, 22, 33, 37, 38, 31, 43, 40, 44, 46, 34, 44, 83, 36, 61, 41, 46, 39, 44, 43, 33, 53, 41, 31, 33, 43, 34, 43, 36, 26, 32, 39, 43, 62, 63, 27, 43, 28, 42, 31, 35, 53, 30, 46, 60, 66, 39, 56, 70, 49, 24, 33, 32, 36, 37, 39, 34, 59, 35, 36, 45, 49, 53, 35, 48, 46, 48, 35, 43, 41, 33, 65, 45, 47, 53, 68, 53, 32, 49, 34, 40, 67, 40, 39, 63, 56, 43, 37, 41, 18, 36, 44, 52, 38, 50, 45, 50, 38, 74, 35, 37, 55, 45, 70, 56, 49, 44, 25, 29, 47, 34, 22, 28, 74, 40, 36, 37, 63, 37, 25, 18, 31, 58, 40, 38, 27, 51, 30, 43, 67, 32, 26, 49, 54, 56, 31, 27, 29, 40, 36, 44, 31, 98, 54, 35, 32, 45, 46, 54, 54, 40, 28, 68, 57, 38, 70, 34, 51, 45, 52, 39, 43, 52, 69, 47, 39, 76, 34, 45, 32, 50, 35, 47, 68, 34, 52, 60, 67, 44, 30, 41, 29, 39, 39, 47, 42, 38, 59, 38, 28, 68, 39, 44, 65, 47, 44, 45, 45, 39, 55, 45, 40, 30, 43, 59, 54, 46, 42, 33, 45, 40, 25, 37, 19, 55, 88, 49, 89, 40, 44, 38, 24, 34, 53, 66, 30, 56, 69, 69, 57, 69, 39, 43, 34, 36, 39, 44, 70, 35, 61, 53, 35, 38, 54, 59, 31, 45, 69, 63, 36, 59, 66, 38, 55, 58, 50, 47, 47, 46, 34, 47, 59, 60, 33, 57, 38, 44, 81, 64, 56, 58, 53, 38, 53, 73, 35, 31, 71, 56, 41, 55, 60, 49, 34, 43, 46, 37, 44, 45, 64, 46, 41, 48, 47, 48, 66, 44, 63, 63, 79, 43, 62, 71, 28, 35, 38, 61, 59, 47, 42, 57, 73, 68, 60, 37, 55, 57, 46, 66, 41, 45, 61, 52, 43, 55, 56, 50, 31, 45, 85, 53, 48, 45, 51, 55, 57, 54, 42, 37, 55, 39, 32, 49, 43, 54, 81, 97, 35, 25, 22, 63, 86, 74, 52, 38, 24, 41, 54, 42, 32, 43, 66, 54, 53, 50, 60, 74, 49, 42, 41, 33, 42, 24, 35, 53, 54, 39, 37, 48, 44, 27, 45, 25, 38, 44, 33, 40, 60, 42, 33, 30, 62, 30, 32, 28, 39, 37, 47, 90, 56, 39, 30, 42, 40, 37, 36, 18, 49, 31, 32, 48]"
1,1,"[52, 45, 34, 54, 54, 44, 40, 51, 32, 48, 46, 46, 50, 45, 24, 38, 52, 53, 31, 41, 52, 68, 51, 41, 55, 46, 48, 40, 54, 50, 62, 47, 36, 63, 30, 64, 45, 45, 49, 59, 47, 46, 65, 47, 44, 53, 56, 70, 53, 61, 54, 45, 65, 27, 25, 26, 21, 52, 45, 53, 60, 68, 60, 52, 45, 38, 43, 56, 55, 30, 47]"
2,2,"[38, 28, 37, 49, 45, 42, 56, 50, 62, 57, 35, 55, 52, 48, 40, 61, 53, 58, 44, 49, 45, 54, 58, 63, 40, 53, 55, 63, 49, 70, 49, 40, 39, 74, 44, 50, 54, 62, 48, 67, 54, 43, 34, 37, 44, 52, 46, 58, 65, 33, 67, 43, 46, 41, 42, 31, 47, 40, 40, 60, 48, 55, 30, 34, 53, 53, 57, 37, 38, 59, 35, 22, 22, 29, 37, 28, 38, 37, 53, 35, 43, 33, 26, 55, 29, 29, 24, 25, 32, 35, 35, 65, 44, 44, 40, 30, 48, 65, 67, 61, 45, 68, 69, 48, 35, 44, 41, 56, 42, 30, 35, 41, 38, 44, 37, 29, 41, 42, 28, 40, 44, 52, 26, 46, 33, 40, 25, 26, 34, 47, 47, 47, 54, 32, 36, 45, 49, 58, 47, 35, 42, 65, 64, 46, 45, 51, 60, 59, 47, 58, 59, 35, 40, 47, 29, 47, 41, 41, 46, 50, 33, 44, 51, 39, 44, 32, 38, 37, 41, 32, 44, 49, 47, 43, 95, 57, 54, 66, 48, 34, 46, 66, 27, 48, 43, 37, 30, 29, 33, 29, 35, 38, 37, 36, 51, 58, 29, 32, 21, 23, 48, 48, 55, 69, 56, 41, 27, 38, 34, 49, 33, 32, 45, 33, 73, 68, 46, 30, 68, 33, 64, 75, 50, 47, 34, 25, 32, 40, 48, 40, 44, 41, 41, 33, 43, 48, 44, 52, 53, 46, 46, 59, 41, 43, 66, 39, 53, 35, 59, 42, 51, 44, 60, 42, 27, 39, 46, 41, 60, 39, 47, 32, 38, 32, 41, 37, 48, 43, 48, 35, 44, 72, 55, 45, 33, 49, 38, 38, 45, 62, 45, 40, 66, 43, 29, 32, 22, 62, 42, 27, 29, 44, 37, 47, 40, 39, 19, 42, 25, 57, 44, 33, 50, 48, 51, 46, 36, 73, 51, 27, 34, 34, 72, 58, 40, 47, 72, 42, 47, 42, 42, 47, 42, 48, 52, 37, 36, 51, 45, 52, 45, 43, 37, 46, 24, 47, 50, 48, 46, 38, 68, 49, 41, 48, 61, 30, 50, 44, 49, 45, 50, 43, 50, 50, 42, 55, 31, 67, 66, 42, 60, 63, 62, 67, 46, 59, 92, 46, 50, 56, 60, 44, 26, 25, 62, 43, 43, 45, 39, 44, 43, 39, 45, 39, 49, 42, 43]"
3,3,"[31, 19, 42, 24, 10, 29, 44, 29, 28, 48, 30, 31, 52, 32, 45, 48, 43, 27, 62, 31, 36, 32, 43, 35, 38, 20, 31, 42, 51, 40, 19, 44, 48, 53, 38, 56, 54, 36, 54, 56, 44, 31, 56, 51, 31, 38, 47, 62, 36, 28, 24, 37, 48, 65, 40, 26, 33, 33, 37, 64, 58, 42, 44, 35, 47, 41, 75, 60, 51, 67, 68, 43, 42, 62, 39, 58, 44, 35, 51, 32, 37, 30, 40, 54, 46, 25, 45, 43, 35, 36, 42, 35, 56, 38, 40, 35, 55, 36, 33, 17, 22, 29, 55, 18, 47, 36, 34, 30, 42, 35, 42, 44, 49, 61, 59, 42, 32, 31, 34, 48, 31, 31, 16, 36, 34, 39, 31, 41, 47, 47, 61, 43, 31, 51, 53, 51, 45, 51, 43, 24, 45, 31, 32, 36, 45, 21, 48, 28, 61, 34, 23, 46, 41, 61, 64, 38, 22, 49, 56, 44, 37, 22, 35, 35, 45, 36, 48, 51, 66, 27, 47, 49, 51, 57, 34, 45, 55, 46, 40, 48, 31, 28, 34, 51, 40, 29, 52, 33, 69, 43, 35, 39, 37, 29, 34, 33, 25, 28, 43, 68, 34, 42, 37, 55, 47, 51, 44, 38, 43, 47, 40, 42, 42, 38, 40, 33, 41, 48, 34, 41, 45, 43, 46, 44, 50, 45, 34, 36, 52, 35, 31, 38, 34, 35, 39, 61, 49, 51, 38, 56, 52, 63, 45, 44, 47, 57, 31, 39, 42, 47, 39, 95, 52, 31, 50, 44, 40, 32, 46, 37, 29, 74, 44, 66, 40, 72, 36, 50, 52, 42, 63, 65, 61, 25, 44, 38, 29, 60, 53, 49, 41, 50, 41, 34, 30, 42, 52, 35, 54, 44, 37, 56, 47, 39, 53, 62, 56, 26, 73, 60, 49, 57, 57, 34, 50, 42, 49, 28, 26, 39, 26, 31, 46, 59, 54, 46, 40, 60, 61, 39, 55, 51, 25, 49, 45, 44, 24, 52, 60, 50, 49, 59, 35, 39, 27, 55, 56, 39, 54, 56, 52, 46, 75, 47, 55, 39, 47, 42, 35, 46, 32, 47, 42, 68, 45, 49, 37, 48, 58, 37, 35, 52, 52, 59, 48, 54, 68, 44, 63, 65, 33, 28, 21, 30, 47, 30, 59, 36, 56, 56, 37, 40, 55, 52, 62, 53, 21, 36, 41, 52, 49, 62, 43, 35, 41, 58, 46, 45, 51, 44, 69, 60, 61, 61, 64, 36, 61, 62, 48, 32, 73, 62, 45, 60, 49, 43, 54, 37, 36, 47, 52, 54, 46, 50, 54, 65, 37, 43, 49, 34, 34, 43, 25, 54, 33, 56, 53, 78, 34, 71, 29, 62, 58, 45, 61, 60, 59, 46, 47, 57, 40, 44, 65, 45, 69, 66, 53, 34, 30, 62, 33, 38, 47, 39, 38, 43, 36, 53, 62, 42, 49, 33, 40, 52, 38, 66, 62, 36, 42, 35, 49, 80, 62, 23, 47, 92, 33, 47, 48, 74, 36, 39, 80, 49, 57, 73, 52, 56, 78]"
4,4,"[40, 36, 51, 51, 44, 45, 49, 35, 32, 59, 42, 53, 64, 22, 18, 33, 51, 52, 52, 50, 44, 50, 58, 35, 63, 56, 61, 21, 38, 30, 27, 24, 31, 46, 32, 58, 30, 44, 61, 53, 46, 49, 57, 31, 37, 38, 31, 36, 33, 33, 38, 56, 38, 48, 43, 31, 38, 48, 54, 34, 36, 41, 43, 48, 45, 62, 27, 34, 52, 42, 33, 33, 35, 41, 22, 28, 44, 28, 37, 49, 46, 67, 56, 27, 50, 59, 21, 45, 67, 49, 31, 57, 54, 55, 34, 34, 30, 36, 38, 28, 34, 30, 28, 57, 42, 72, 47, 51, 66, 24, 31, 37, 13, 34, 28, 27, 42, 67, 39, 49, 38, 45, 52, 20, 34, 22, 33, 24, 35, 44, 35, 67, 38, 46, 60, 40, 26, 40, 51, 42, 47, 47, 38, 33, 38, 38, 30, 29, 41, 30, 50, 72, 63, 51, 46, 43, 47, 41, 66, 45, 47, 48, 29, 52, 53, 61, 38, 32, 36, 41, 32, 52, 58, 49, 49, 37, 40, 36, 35, 54, 34, 22, 25, 41, 43, 50, 49, 33, 31, 38, 46, 52, 47, 38, 46, 69, 49, 53, 50, 31, 35, 37, 55, 28, 41, 58, 49, 41, 49, 60, 40, 28, 53, 78, 34, 45, 38, 41, 39, 50, 46, 45, 47, 47, 62, 47, 40, 46, 34, 52, 33, 39, 79, 69, 53, 85, 67, 57, 63, 61, 89, 40, 28, 60, 42, 45, 52, 16, 27, 75, 44, 44, 73, 54, 81, 43, 54, 35, 45, 40, 42, 45, 36, 30, 44, 46, 54, 60, 42, 47, 52, 46, 33, 56, 33, 36, 37, 59, 39, 70, 93, 47, 57, 72, 45, 36, 38, 64, 47, 36, 51, 41, 46, 57, 51, 50, 48, 40, 43, 20, 23, 45, 49, 41, 52, 28, 36, 46, 46, 38, 33, 38, 55, 32, 57, 50, 44, 61, 66, 43, 52, 47, 60, 44, 66, 45, 33, 57, 44, 43, 45, 61, 46, 50, 40, 47, 48, 49, 38, 48, 47, 51, 41, 44, 60, 45, 26, 35, 40, 21, 45, 40, 42, 46, 44, 41, 46, 47, 41, 52, 43, 43, 57, 39, 39, 60, 62, 62, 62, 54, 67, 42, 81, 31, 45, 40, 58, 33, 40, 35, 46, 55, 67, 74, 37, 60, 42, 41, 33, 56, 47, 45, 23, 38, 60, 51, 41, 67, 34, 64, 63, 55, 55, 47, 57, 61, 68, 31, 39, 54, 59, 64, 44, 35, 44, 42, 56, 54, 33, 39, 68, 66, 48, 60, 43, 50, 67, 53, 49, 54, 59, 55, 43, 36, 61, 40, 34, 24, 26, 34, 25, 39, 59, 42, 45, 52, 53, 42, 45, 47, 41, 45, 45, 42, 70, 57, 43, 58, 45, 50, 44, 59, 39, 16, 41, 44, 22, 45, 58, 34, 62, 54, 26, 67, 65, 58, 36, 42, 54, 54, 30, 49, 59, 29, 42, 32, 41, 39]"
5,5,"[54, 36, 43, 53, 39, 57, 47, 39, 65, 61, 40, 35, 54, 21, 36, 41, 20, 44, 27, 42, 42, 36, 42, 43, 50, 44, 39, 29, 59, 14, 64, 49, 40, 44, 42, 61, 16, 28, 59, 36, 34, 42, 43, 31, 36, 32, 57, 44, 42, 32, 65, 48, 46, 42, 35, 54, 39, 36, 36, 53, 26, 28, 51, 57, 57, 25, 28, 33, 66, 41, 49, 43, 35, 34, 46, 46, 58, 41, 53, 25, 34, 31, 30, 41, 56, 25, 20, 24, 26, 30, 36, 38, 50, 30, 44, 25, 44, 54, 44, 46, 63, 55, 40, 44, 23, 45, 43, 40, 44, 46, 49, 50, 41, 45, 60, 39, 50, 48, 35, 43, 56, 40, 32, 47, 52, 39, 47, 45, 77, 46, 45, 73, 35, 32, 70, 56, 33, 36, 45, 52, 34, 36, 49, 55, 43, 21, 35, 37, 32, 31, 26, 59, 39, 65, 48, 32, 39, 35, 29, 42, 40, 50, 39, 44, 51, 30, 41, 38, 50, 26, 32, 43, 29, 33, 37, 42, 32, 34, 43, 45, 40, 52, 28, 25, 32, 27, 32, 32, 52, 36, 42, 78, 41, 38, 43, 58, 45, 47, 58, 50, 42, 49, 44, 51, 55, 58, 28, 43, 57, 34, 42, 64, 28, 53, 24, 43, 27, 80, 45, 34, 57, 58, 64, 41, 48, 34, 47, 34, 58, 44, 44, 45, 36, 36, 41, 48, 46, 61, 49, 26, 37, 44, 29, 56, 51, 55, 48, 47, 51, 52, 46, 44, 34, 62, 42, 45, 57, 64, 31, 43, 47, 37, 60, 39, 58, 38, 45, 38, 41, 54, 40, 47, 38, 30, 38, 55, 50, 43, 33, 65, 49, 36, 62, 45, 34, 48, 58, 52, 29, 30, 45, 48, 44, 52, 53, 44, 41, 68, 59, 38, 68, 52, 62, 54, 50, 33, 45, 53, 52]"
6,6,"[45, 42, 65, 51, 49, 49, 76, 52, 22, 39, 38, 44, 38, 53, 47, 53, 45, 64, 52, 40, 27, 43, 25, 58, 54, 39, 51, 39, 48, 51, 45, 46, 46, 48, 22, 30, 58, 44, 21, 30, 23, 63, 63, 63, 55, 51, 62, 56, 33, 40, 51, 57, 38, 48, 51, 41, 34, 39, 36, 38, 35, 40, 47, 42, 36, 69, 47, 44, 45, 60, 70, 87, 55, 55, 70, 46, 31, 54, 40, 44, 28, 32, 44, 11, 49, 37, 50, 56, 42, 32, 21, 36, 27, 25, 38, 38, 49, 43, 45, 40, 41, 47, 44, 56, 63, 44, 36, 43, 48, 44, 32, 47, 41, 26, 40, 21, 35, 42, 70, 56, 33, 38, 30, 54, 40, 35, 41, 52, 43, 47, 40, 45, 77, 25, 31, 60, 41, 35, 49, 41, 35, 28, 58, 53, 47, 41, 44, 49, 30, 41, 51, 67, 58, 44, 40, 44, 35, 34, 36, 21, 37, 44, 25, 57, 48, 54, 43, 58, 62, 71, 40, 39, 54, 57, 36, 43, 34, 41, 36, 48, 37, 40, 44, 42, 43, 47, 45, 50, 29, 37, 44, 52, 25, 48, 25, 32, 43, 39, 55, 44, 38, 49, 34, 46, 37, 27, 32, 33, 49, 37, 52, 50, 82, 65, 48, 40, 31, 58, 43, 70, 42, 59, 51, 52, 38, 35, 39, 45, 29, 46, 31, 41, 50, 56, 19, 51, 54, 58, 41, 36, 55, 36, 40, 37, 50, 50, 46, 51, 55, 51, 55, 36, 33, 38, 68, 53, 34, 45, 62, 57, 61, 47, 42, 47, 59, 36, 53, 69, 44, 39, 68, 48, 50, 29, 64, 44, 29, 43, 41, 38, 35, 35, 46, 37, 41, 38, 51, 60, 62, 54, 40, 46, 54, 45, 43, 61, 36, 25, 21, 27, 42, 25, 35, 52, 22, 24, 50, 41, 34, 50, 45, 43, 30, 39, 26, 43, 61, 56, 23, 70, 33, 39, 56, 39, 40, 42]"
7,7,"[24, 33, 54, 57, 53, 65, 51, 56, 73, 59, 68, 62, 52, 40, 35, 64, 41, 58, 46, 48, 41, 60, 77, 43, 39, 63, 53, 29, 46, 45, 33, 38, 62, 21, 63, 42, 44, 39, 43, 75, 26, 30, 55, 43, 33, 41, 49, 37, 26, 52, 35, 34, 44, 48, 47, 42, 63, 27, 34, 67, 33, 50, 40, 53, 56, 44, 43, 55, 19, 62, 64, 31, 29, 38, 37, 37, 61, 51, 32, 51, 42, 36, 46, 62, 21, 61, 66, 46, 43, 35, 46, 44, 41, 40, 47, 42, 49, 43, 42, 30, 50, 34, 62, 72, 48, 60, 68, 43, 34, 34, 39, 38, 26, 41, 22, 29, 59, 40, 22, 45, 23, 41, 32, 43, 27, 23, 48, 27, 28, 41, 40, 29, 32, 40, 53, 29, 41, 32, 38, 36, 35, 40, 38, 28, 47, 36, 46, 36, 20, 30, 20, 36, 22, 39, 64, 58, 72, 42, 48, 31, 22, 38, 47, 42, 24, 20, 49, 26, 30, 34, 43, 56, 23, 33, 45, 31, 53, 49, 48, 58, 37, 43, 53, 80, 83, 66, 46, 43, 43, 41, 25, 35, 52, 50, 22, 53, 60, 55, 27, 53, 47, 68, 46, 55, 50, 50, 43, 51, 41, 57, 55, 46, 30, 57, 66, 78, 73, 41, 38, 30, 36, 36, 54, 32, 26, 51, 44, 36, 45, 54, 35, 26, 60, 32, 31, 51, 57, 42, 37, 45, 67, 31, 37, 24, 21, 41, 36, 56, 40, 47, 67, 58, 41, 50, 63, 36, 24, 36, 52, 25, 38, 47, 45, 40, 38, 37, 47, 40, 53, 55, 57, 68, 50, 57, 44, 45, 27, 49, 34, 61, 48, 34, 30, 54, 54, 42, 17, 74, 34, 48, 63, 58, 56, 37, 60, 73, 52, 47, 48, 56, 49, 39, 33, 37, 46, 50, 46, 31, 34, 36, 34, 47, 35, 56, 35, 28, 37, 32, 44, 34, 31, 34]"
8,8,"[23, 29, 65, 55, 72, 58, 43, 46, 49, 34, 53, 40, 34, 42, 23, 25, 36, 35, 44, 43, 45, 46, 41, 49, 34, 38, 27, 69, 48, 37, 40, 29, 49, 32, 39, 65, 30, 53, 27, 44, 35, 75, 44, 48, 27, 30, 34, 35, 47, 23, 29, 43, 14, 28, 36, 20, 25, 45, 36, 37, 72, 22, 38, 43, 41, 34, 15, 39, 40, 46, 50, 37, 54, 39, 33, 33, 40, 61, 56, 41, 52, 65, 36, 58, 41, 35, 48, 30, 29, 60, 45, 41, 31, 45, 44, 24, 40, 60, 33, 35, 35, 41, 43, 37, 40, 27, 29, 35, 42, 43]"
9,9,"[28, 34, 40, 30, 18, 25, 37, 42, 47, 57, 36, 45, 38, 60, 36, 54, 18, 25, 48, 39, 36, 64, 43, 56, 54, 25, 36, 66, 45, 44, 32, 40, 32, 31, 51, 44, 34, 35, 49, 24, 28, 32]"
